FID,FID_1,SAFE_ID,UTM_E,UTM_N,ZONE,ELEVATION,PLACE,MOO,VILLAGE,TAMBON,DISTRICT,PROVINCE,YEAR_MAP,REMARK,REMARK_2
0,0,1,845373,1381325,47, ,วัดตะปอนใหญ่,0, ,ตะปอน,ขลุง,จันทบุรี,0, , 
1,1,2,845373,1381325,47, ,วัดตะปอนใหญ่,0, ,ตะปอน,ขลุง,จันทบุรี,0, , 
2,2,3,844491,1382174,47, ,โรงเรียนวัดตะปอนน้อย,0, ,ตะปอน,ขลุง,จันทบุรี,0, , 
3,3,4,842861,1383327,47, ,วัดป่าเจดีย์ทราย,0, ,ตะปอน,ขลุง,จันทบุรี,0, , 
4,4,5,843756,1382768,47, ,ที่ทำการอบต.ตะปอน,0, ,ตะปอน,ขลุง,จันทบุรี,0, , 
5,5,6,844519,1384185,47, ,นาย บรรพต ทศานนท์,0, ,ตะปอน,ขลุง,จันทบุรี,0, , 
6,6,7,847330,1380241,47, ,วัดคานรูด,4, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
7,7,8,847641,1380130,47, ,โรงเรียนวัดคานรูด,3, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
8,8,9,847924,1380063,47, ,ศาลาเอนกประสงค์,6, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
9,9,10,850404,1380430,47, ,บ้านผู้ใหญ่ ม. 9,9, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
10,10,11,849603,1379530,47, ,ศาลาเอนกประสงค์,10, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
11,11,12,848810,1379566,47, ,ศาลาเอนกประสงค์,8, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
12,12,13,848271,1379652,47, ,ศาลาเอนกประสงค์,5, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
13,13,14,848470,1380072,47, ,ศาลาเอนกประสงค์,7, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
14,14,15,846046,1380908,47, ,บ้านผู้ใหญ่ ม. 1,1, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
15,15,16,846313,1380875,47, ,บ้านผู้ใหญ่ ม. 2,2, ,เกวียนหัก,ขลุง,จันทบุรี,0, , 
16,16,17,850008,1379349,47, ,โรงเรียนเทศบาล1,2, ,ขลุง,ขลุง,จันทบุรี,0, , 
17,17,18,850270,1379046,47, ,วัดวันยาวบน,4, ,ขลุง,ขลุง,จันทบุรี,0, , 
18,18,19,850239,1378344,47, ,โรงเรียนศรีหฤทัย,0, ,ขลุง,ขลุง,จันทบุรี,0, , 
19,19,20,850763,1379704,47, ,โรงพยาบาลขลุง,8, ,ขลุง,ขลุง,จันทบุรี,0, , 
20,20,21,850814,1378744,47, ,เทศบาลตำบลขลุง,0, ,ขลุง,ขลุง,จันทบุรี,0, , 
21,21,22,850233,1378997,47, ,ที่ว่าการอำเภอขลุง,9, ,ขลุง,ขลุง,จันทบุรี,0, , 
22,22,23,856814,1381195,47, ,ศาลาเอนกประสงค์,1, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
23,23,24,858286,1384432,47, ,วัดกมลธรรมาราม,2, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
24,24,25,852294,1379828,47, ,โรงเรียนวัดซึ้งบน,3, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
25,25,26,851613,1380791,47, ,ศาลาเอนกประสงค์,4, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
26,26,27,851268,1382702,47, ,วัดมณีคีรีวงศ์,5, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
27,27,28,851268,1382702,47, ,วัดมณีคีรีวงศ์,6, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
28,28,29,855135,1383937,47, ,โรงเรียนวัดอิมั้ง,7, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
29,29,30,854935,1383939,47, ,วัดอิมั้ง,8, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
30,30,31,856868,1383636,47, ,สถานีตำรวจ,9, ,ซึ้ง,ขลุง,จันทบุรี,0, , 
